smiles,pKa,source
CC1(C)CN2C(CS/C(=N\C3CCCCC3)NC3CCCCC3)=CSC2=N1,8.0,chembl26.sdf.gz
CNc1ccc([N+](=O)[O-])c2c(NCCCN(C)C)ccnc12,4.22,chembl26.sdf.gz
CN(C)CCCNc1ccnc2cccc([N+](=O)[O-])c12,6.39,chembl26.sdf.gz
CN(C)CCNC(=O)c1ccc(NNc2ccnc3cccc([N+](=O)[O-])c23)cc1,5.08,chembl26.sdf.gz
Cc1cnc2ccc(C)c([N+](=O)[O-])c2c1NCCCN(C)C,6.07,chembl26.sdf.gz
NCCc1c[nH]c2c1C(=O)C(=O)C=C2O,5.6,chembl26.sdf.gz
NCCc1c[nH]c2c1C(=O)C(O)=C(C1=C(O)c3[nH]cc(CCN)c3C(=O)C1=O)C2=O,6.5,chembl26.sdf.gz
CN(C)CCCCc1ccc(C(C)(C)C)cc1,9.9,chembl26.sdf.gz
CN(C)CCCCc1ccc(C2(C)COC2)cc1,9.9,chembl26.sdf.gz
CCc1ccc(CCCCN(C)C)cc1,9.9,chembl26.sdf.gz
CN(C)CCCCc1ccc(C2(O)COC2)cc1,9.6,chembl26.sdf.gz
CN(C)CCCCc1ccc(C2(F)COC2)cc1,9.9,chembl26.sdf.gz
CN(C)CCCCc1ccc(C2COC2)cc1,9.9,chembl26.sdf.gz
CN(C)CCCC(C)(C)c1ccc(C(C)(C)C)cc1,9.8,chembl26.sdf.gz
CN(C)CCCC1(c2ccc(C(C)(C)C)cc2)COC1,9.6,chembl26.sdf.gz
CN(C)CCC(C)(C)Cc1ccc(C(C)(C)C)cc1,9.5,chembl26.sdf.gz
CN(C)CCC1(Cc2ccc(C(C)(C)C)cc2)COC1,9.2,chembl26.sdf.gz
CN(C)CC(C)(C)CCc1ccc(C(C)(C)C)cc1,9.4,chembl26.sdf.gz
CN(C)CC1(CCc2ccc(C(C)(C)C)cc2)COC1,8.0,chembl26.sdf.gz
CN(C)C(C)(C)CCCc1ccc(C(C)(C)C)cc1,10.4,chembl26.sdf.gz
CN(C)C1(CCCc2ccc(C(C)(C)C)cc2)COC1,7.2,chembl26.sdf.gz
CC1(C)CCN1Cc1ccc2c(c1)OCO2,10.1,chembl26.sdf.gz
c1cc2c(cc1CN1CCC13COC3)OCO2,6.2,chembl26.sdf.gz
CC1(C)CN(Cc2ccc3c(c2)OCO3)C1,9.6,chembl26.sdf.gz
c1cc2c(cc1CN1CC3(COC3)C1)OCO2,8.0,chembl26.sdf.gz
CC1(C)CCCN1Cc1ccc2c(c1)OCO2,10.0,chembl26.sdf.gz
c1cc2c(cc1CN1CCCC13COC3)OCO2,6.3,chembl26.sdf.gz
CC1(C)CCN(Cc2ccc3c(c2)OCO3)C1,9.7,chembl26.sdf.gz
c1cc2c(cc1CN1CCC3(COC3)C1)OCO2,8.1,chembl26.sdf.gz
O=C1CCN(Cc2ccc3c(c2)OCO3)C1,6.1,chembl26.sdf.gz
CC1(C)CCCCN1Cc1ccc2c(c1)OCO2,10.2,chembl26.sdf.gz
c1cc2c(cc1CN1CCCCC13COC3)OCO2,7.0,chembl26.sdf.gz
CC1(C)CCCN(Cc2ccc3c(c2)OCO3)C1,9.4,chembl26.sdf.gz
c1cc2c(cc1CN1CCCC3(COC3)C1)OCO2,7.9,chembl26.sdf.gz
O=C1CCCN(Cc2ccc3c(c2)OCO3)C1,7.6,chembl26.sdf.gz
CC1(C)CCN(Cc2ccc3c(c2)OCO3)CC1,9.5,chembl26.sdf.gz
c1cc2c(cc1CN1CCC3(CC1)COC3)OCO2,8.3,chembl26.sdf.gz
O=C1CCN(Cc2ccc3c(c2)OCO3)CC1,7.5,chembl26.sdf.gz
c1cc2c(cc1CN1CC3CC(C1)O3)OCO2,7.1,chembl26.sdf.gz
c1cc2c(cc1CN1CCOCC1)OCO2,7.0,chembl26.sdf.gz
c1cc2c(cc1CN1CCCCC1)OCO2,9.6,chembl26.sdf.gz
c1cc2c(cc1CN1CCCC1)OCO2,9.7,chembl26.sdf.gz
c1cc2c(cc1CN1CCC1)OCO2,9.5,chembl26.sdf.gz
COCC1CC(C(=O)NC[C@H]2CCCO2)CN(Cc2nc(N3CCOCC3)oc2C)C1,7.2,chembl26.sdf.gz
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)/C=C/C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCCN(C)C)n(C)c4)n(C)c3)cn2C)cn1C,9.5,chembl26.sdf.gz
Cn1cc(NC(=O)c2cc(NC(=O)CNC(=N)N)cn2C)cc1C(=O)NCCC(=N)N,12.4,chembl26.sdf.gz
Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cc1C(=O)NCCC(=N)N,12.4,chembl26.sdf.gz
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)c5cc(NC(=O)c6cc(NC(=O)CCCN(C)C)cn6C)cn5C)cn4C)cn3C)cn2C)cn1C,9.5,chembl26.sdf.gz
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)CNC(=O)c3cccc(C(=O)NCC(=O)Nc4cc(C(=O)Nc5cc(C(=O)NCCCN(C)C)n(C)c5)n(C)c4)c3)cn2C)cn1C,9.5,chembl26.sdf.gz
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cn1C,9.5,chembl26.sdf.gz
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc(NC(=O)c5cc(NC(=O)CCCN(C)C)cn5C)cn4C)cn3C)cn2C)cn1C,9.5,chembl26.sdf.gz
CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,5.9,chembl26.sdf.gz
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.O=C(O)/C=C/C(=O)O,9.2,chembl26.sdf.gz
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NC[C@H]2CCC(=O)N2)C(C)C)C(C)C)ccc1OC.Cl,9.09,chembl26.sdf.gz
COCCCCc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.Cl,9.44,chembl26.sdf.gz
COCCCCc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCCN2CCOCC2)C(C)C)C(C)C)ccc1OC.Cl,6.01,chembl26.sdf.gz
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCCC(=O)N(C)C)C(C)C)C(C)C)ccc1OC.O=C([O-])CC(O)(CC(=O)O)C(=O)O.[Na+],9.4,chembl26.sdf.gz
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCCC(=O)N(C)C)C(C)C)C(C)C)ccc1OC.O=C(O)CC(O)(CC(=O)O)C(=O)O,5.7,chembl26.sdf.gz
COc1cc2c(cc1OC)-c1c(-c3cccnc3)ncn1CC2,3.5,chembl26.sdf.gz
COc1cc2c(cc1OC)-c1c(-c3cccnc3)nc(C)n1CC2,4.0,chembl26.sdf.gz
O=[N+]([O-])c1ccc(Nc2ccc(NC(=S)Oc3ccc(O)cc3)cc2)cc1,9.22,chembl26.sdf.gz
O=[N+]([O-])c1ccc(Sc2ccc(NC(=S)Oc3ccc(O)cc3)cc2)cc1,9.21,chembl26.sdf.gz
CC(=O)Nc1ccc(OC(=S)Nc2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)cc1,9.04,chembl26.sdf.gz
O=[N+]([O-])c1ccc(Oc2ccc(NC(=S)Oc3ccc(O)cc3)cc2)cc1,9.23,chembl26.sdf.gz
CC(=O)Nc1ccc(OC(=S)Nc2ccc(Nc3ccc([N+](=O)[O-])cc3)cc2)cc1,9.04,chembl26.sdf.gz
CC(=O)Nc1ccc(OC(=S)Nc2ccc(Sc3ccc([N+](=O)[O-])cc3)cc2)cc1,8.99,chembl26.sdf.gz
Oc1ccc(OC(=S)Nc2ccc(Nc3ccc(C(F)(F)F)cc3)cc2)cc1,9.23,chembl26.sdf.gz
CC(=O)Nc1ccc(OC(=S)Nc2ccc(Nc3ccc(C(F)(F)F)cc3)cc2)cc1,9.05,chembl26.sdf.gz
Oc1ccc(OC(=S)Nc2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)cc1,9.23,chembl26.sdf.gz
CC(=O)Nc1ccc(OC(=S)Nc2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)cc1,9.03,chembl26.sdf.gz
Oc1ccc(OC(=S)Nc2ccc(Sc3ccc(C(F)(F)F)cc3)cc2)cc1,9.22,chembl26.sdf.gz
