smiles,n_atoms,mw,src
O=c1ccc(-c2ccc(S(=O)(=O)Nc3cccc4c3CCCC4)s2)n[nH]1,26,387.4860000000002,chembl26.sdf
COc1cccc(-n2cc(C(=O)N(C)c3cccc(Cl)c3)c3ccccc3c2=O)c1,30,418.8800000000001,chembl26.sdf
CCS(=O)(=O)c1nc(S(=O)(=O)c2ccc(Cl)cc2)c(N2CCc3ccccc3C2)s1,30,483.0360000000003,chembl26.sdf
Cc1ccc(S(=O)(=O)c2cnc3ccc(F)cc3c2SCc2ccc(Cl)cc2)cc1,30,457.97900000000016,chembl26.sdf
COCCn1c(C)c(C)c(S(=O)(=O)c2ccc(Cl)cc2)c1N,22,342.848,chembl26.sdf
Cc1ccc(Cl)cc1N(C)C(=O)c1cn(-c2ccc(F)cc2F)c(=O)c2ccccc12,31,438.86100000000016,chembl26.sdf
CCCCc1nc(Cl)c(COC)n1Cc1ccc(NC(=O)c2ccccc2S(=O)(=O)O)cc1,33,491.9970000000002,chembl26.sdf
CCCCCCOC(=O)NCCCC(C)Nc1cc(OC)cc2cccnc12,28,387.5240000000001,chembl26.sdf
CCOC(=O)NCCCC(C)Nc1cc(OC)cc2cccnc12,24,331.41600000000005,chembl26.sdf
O=C(Nc1ccon1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,29,412.8770000000002,chembl26.sdf
O=C(Nc1noc2ccccc12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,33,462.9370000000001,chembl26.sdf
O[C@@H]1c2cc(OCc3cccc(F)n3)ccc2OC[C@@H]1Cc1cccnc1,27,366.3920000000001,chembl26.sdf
COc1ccc(-c2nc3c(C(=O)NCCN(C)C)cccc3c3ccccc23)cc1.Cl.Cl,32,472.4160000000001,chembl26.sdf
Fc1ccc(S)cc1,8,128.17099999999996,datawarrior.sdf.gz
O=C1OCC(O)=C1O,8,116.07199999999997,datawarrior.sdf.gz
CC1=C(O)C(O)=CC1,8,112.12799999999997,datawarrior.sdf.gz
O=C(O)C1CCCC1,8,114.14400000000002,datawarrior.sdf.gz
O=C1CCCC(=O)C1,8,112.128,datawarrior.sdf.gz
O=CC1CCCC1=O,8,112.128,datawarrior.sdf.gz
[O-]c1ccccc1O,8,110.11199999999997,datawarrior.sdf.gz
[O-]c1cccc(O)c1,8,110.11199999999998,datawarrior.sdf.gz
[O-]c1ccc(O)cc1,8,110.11199999999998,datawarrior.sdf.gz
O=C(O)C1CC1(Cl)Cl,8,154.98,datawarrior.sdf.gz
O=C(O)C1CC1(Br)Br,8,243.88199999999998,datawarrior.sdf.gz
O=C(O)c1ccsc1,8,128.152,datawarrior.sdf.gz
O=C(O)c1cccs1,8,128.152,datawarrior.sdf.gz
O=C(O)c1ccc[se]1,8,175.045,datawarrior.sdf.gz
O=P1(O)CCCCC1,8,134.115,datawarrior.sdf.gz
O=C1CSCC(=O)C1,8,130.168,datawarrior.sdf.gz
O=C1CCC(O)=C1O,8,114.09999999999998,datawarrior.sdf.gz
O=C1CC(=O)C(=O)C1,8,112.08399999999999,datawarrior.sdf.gz
O=C(O)C1(O)CCC1,8,116.116,datawarrior.sdf.gz
O=C(O)c1ccoc1,8,112.08399999999997,datawarrior.sdf.gz
CO[C@H]1C[C@H]1C(=O)O,8,116.116,datawarrior.sdf.gz
CO[C@H]1C[C@@H]1C(=O)O,8,116.116,datawarrior.sdf.gz
O=C1COC(=O)C1Cl,8,134.51799999999997,datawarrior.sdf.gz
O=C1COC(=O)C1I,8,225.96899999999997,datawarrior.sdf.gz
O=C1COC(=O)C1Br,8,178.96899999999997,datawarrior.sdf.gz
Cc1nnc(C)n1N,8,112.13600000000001,datawarrior.sdf.gz
CCCc1nnn[nH]1,8,112.136,datawarrior.sdf.gz
CC(C)c1nnn[nH]1,8,112.13599999999998,datawarrior.sdf.gz
Cc1nnc(S)n1N,8,130.176,datawarrior.sdf.gz
CSc1nc(N)n[nH]1,8,130.176,datawarrior.sdf.gz
N[C@@H]1CCCC[C@@H]1N,8,114.19200000000001,datawarrior.sdf.gz
N[C@H]1CCCC[C@@H]1N,8,114.19200000000001,datawarrior.sdf.gz
Nc1cccc(N)c1,8,108.144,datawarrior.sdf.gz
Cc1nccnc1C,8,108.14399999999999,datawarrior.sdf.gz
Cc1cnc(C)cn1,8,108.144,datawarrior.sdf.gz
C[C@H]1CN[C@@H](C)CN1,8,114.192,datawarrior.sdf.gz
C[C@@H]1CN[C@@H](C)CN1,8,114.192,datawarrior.sdf.gz
CN[C@H]1C[C@]1(C)NC,8,114.19200000000001,datawarrior.sdf.gz
N#Cc1cccnc1,8,104.11199999999998,datawarrior.sdf.gz
CN[C@H]1C(C)[C@@H]1NC,8,114.192,datawarrior.sdf.gz
CN[C@@H]1[C@@H](C)[C@@H]1NC,8,114.192,datawarrior.sdf.gz
N#Cc1ccccn1,8,104.11199999999997,datawarrior.sdf.gz
CC1=NCCCCN1,8,112.176,datawarrior.sdf.gz
CCc1nc(C)c[nH]1,8,110.15999999999998,datawarrior.sdf.gz
CCCc1ncc[nH]1,8,110.16,datawarrior.sdf.gz
N#Cc1ccncc1,8,104.11199999999998,datawarrior.sdf.gz
Nc1ccc(N)cc1,8,108.144,datawarrior.sdf.gz
Cc1cnccc1N,8,108.14399999999999,datawarrior.sdf.gz
NCc1ccncc1,8,108.144,datawarrior.sdf.gz
C[C@@H]1CNC[C@H](C)N1,8,114.19200000000001,datawarrior.sdf.gz
NCc1cccnc1,8,108.14399999999999,datawarrior.sdf.gz
Cc1cc(N)ccn1,8,108.144,datawarrior.sdf.gz
Nc1ccccc1[NH3+],8,108.14399999999998,datawarrior.sdf.gz
N[C@H]1CCCC[C@@H]1[NH3+],8,114.19200000000001,datawarrior.sdf.gz
N[C@@H]1CCCC[C@@H]1[NH3+],8,114.19200000000001,datawarrior.sdf.gz
C[n+]1ccccc1N,8,109.15199999999999,datawarrior.sdf.gz
Nc1cccc([NH3+])c1,8,108.144,datawarrior.sdf.gz
Cc1ncc[nH+]c1C,8,108.14399999999999,datawarrior.sdf.gz
Cc1c[nH+]c(C)cn1,8,108.144,datawarrior.sdf.gz
C[C@H]1C[NH2+][C@@H](C)CN1,8,114.192,datawarrior.sdf.gz
C[C@@H]1C[NH2+][C@@H](C)CN1,8,114.192,datawarrior.sdf.gz
CN[C@H]1C[C@]1(C)[NH2+]C,8,114.19200000000001,datawarrior.sdf.gz
CNc1ccc[nH+]c1,8,108.14399999999998,datawarrior.sdf.gz
CN[C@H]1C(C)[C@@H]1[NH2+]C,8,114.192,datawarrior.sdf.gz
CN[C@@H]1[C@@H](C)[C@@H]1[NH2+]C,8,114.192,datawarrior.sdf.gz
Nc1ccc([NH3+])cc1,8,108.144,datawarrior.sdf.gz
Cc1cncc(C)[nH+]1,8,108.14399999999999,datawarrior.sdf.gz
C[C@@H]1CNC[C@H](C)[NH2+]1,8,114.19200000000001,datawarrior.sdf.gz
[NH3+]Cc1ccncc1,8,108.144,datawarrior.sdf.gz
[NH3+]Cc1ccccn1,8,108.144,datawarrior.sdf.gz
[NH3+]Cc1cccnc1,8,108.14399999999999,datawarrior.sdf.gz
[S-]c1ccnc([S-])n1,8,144.224,datawarrior.sdf.gz
[S-]c1ccnc([S-])[nH+]1,8,144.224,datawarrior.sdf.gz
Nc1ccncc1F,8,112.10699999999999,datawarrior.sdf.gz
Nc1ccncc1Br,8,173.01299999999998,datawarrior.sdf.gz
Cn1ccnc1CS,8,128.2,datawarrior.sdf.gz
Cc1cc([S-])[nH+]cn1,8,126.18399999999998,datawarrior.sdf.gz
Cc1ccnc([S-])[nH+]1,8,126.18399999999997,datawarrior.sdf.gz
Cc1cc([S-])ncn1,8,126.18399999999998,datawarrior.sdf.gz
Cc1ccnc([S-])n1,8,126.18399999999997,datawarrior.sdf.gz
O=C(O)c1cc[nH]n1,8,112.088,datawarrior.sdf.gz
N[C@H]1CC(=O)NC1=O,8,114.10400000000001,datawarrior.sdf.gz
[O-]c1ccc([O-])nn1,8,112.08799999999998,datawarrior.sdf.gz
[O-]c1ccc(O)n[nH+]1,8,112.08799999999998,datawarrior.sdf.gz
[O-]c1cc(O)nc[nH+]1,8,112.088,datawarrior.sdf.gz
O=[N+]([O-])c1ccc[nH]1,8,112.08799999999998,datawarrior.sdf.gz
[O-]c1[nH+]cncc1O,8,112.088,datawarrior.sdf.gz
Oc1ccc(O)[nH+]n1,8,112.08799999999998,datawarrior.sdf.gz
[NH3+][C@H]1CC(=O)NC1=O,8,114.10400000000001,datawarrior.sdf.gz
[O-]c1ncncc1O,8,112.088,datawarrior.sdf.gz
CC(=O)c1cc[nH]n1,8,110.11599999999999,datawarrior.sdf.gz
